enabled,case_id,model_id,provider_label,prompt_id,prompt_text,condition_label,temperature,top_p,reasoning_effort,max_tokens,repetitions,seed_policy,seed_start,notes,provider_order,allow_fallbacks,require_parameters,provider_ignore
FALSE,openai_gpt55_basic,openai/gpt-5.5,OpenAI,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,minimal,64,25,none,,Smoke test row,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,anthropic_sonnet46_basic,anthropic/claude-sonnet-4.6,Anthropic,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,Smoke test row,anthropic/2,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,openai_gpt55_pro_basic,openai/gpt-5.5-pro,OpenAI,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,minimal,64,25,none,,Core GPT comparison,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,openai_gpt54_basic,openai/gpt-5.4,OpenAI,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,minimal,64,25,none,,Core GPT comparison,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,openai_gpt54_pro_basic,openai/gpt-5.4-pro,OpenAI,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,minimal,64,25,none,,Core GPT comparison,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,openai_gpt54_mini_basic,openai/gpt-5.4-mini,OpenAI,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,minimal,64,25,none,,Core GPT comparison,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,openai_gpt54_nano_basic,openai/gpt-5.4-nano,OpenAI,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,minimal,64,25,none,,Core GPT comparison,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,openai_gpt53_chat_basic,openai/gpt-5.3-chat,OpenAI,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,minimal,64,25,none,,GPT backstop requested,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,openai_gpt_chat_latest_basic,openai/gpt-chat-latest,OpenAI,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,ChatGPT-ish moving target,openai,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,anthropic_opus47_basic,anthropic/claude-opus-4.7,Anthropic,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,Claude Opus current,anthropic/2,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,anthropic_opus47_fast_basic,anthropic/claude-opus-4.7-fast,Anthropic,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,Claude Opus fast variant,anthropic,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,anthropic_opus46_basic,anthropic/claude-opus-4.6,Anthropic,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,Claude Opus comparison,anthropic/2,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,anthropic_opus46_fast_basic,anthropic/claude-opus-4.6-fast,Anthropic,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,Claude Opus fast comparison,anthropic,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,anthropic_opus45_basic,anthropic/claude-opus-4.5,Anthropic,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,Claude 4.5 comparison,google-vertex/global,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,anthropic_sonnet45_basic,anthropic/claude-sonnet-4.5,Anthropic,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,Claude 4.5 comparison,anthropic/2,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,anthropic_haiku45_basic,anthropic/claude-haiku-4.5,Anthropic,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,16,25,none,,Claude small model,anthropic,FALSE,FALSE,"atlas-cloud,atlascloud"
FALSE,google_gemini35_flash_basic,google/gemini-3.5-flash,Google,basic_1_100,Pick a random integer from 1 to 100. Reply with only the number.,model_only,1,1,,128,25,none,,Repair batch: previous run hit MAX_TOKENS with empty content,google-ai-studio,FALSE,FALSE,"atlas-cloud,atlascloud"
